[21:30:33] [INFO] received Windows console close event; shutting log-core down
[21:32:17] [INFO] received Windows console close event; shutting log-core down
[21:34:34] [INFO] received Windows console close event; shutting log-core down
[21:36:16] [INFO] received Windows console close event; shutting log-core down
[21:38:29] [INFO] received Windows console close event; shutting log-core down
[21:42:37] [INFO] received Windows console close event; shutting log-core down
[21:44:17] [INFO] received Windows console close event; shutting log-core down
[21:45:34] [INFO] received Windows console close event; shutting log-core down
[21:47:00] [INFO] received Windows console close event; shutting log-core down
[21:49:35] [INFO] received Windows console close event; shutting log-core down
[21:50:24] [INFO] received Windows console close event; shutting log-core down
[21:51:16] [INFO] received Windows console close event; shutting log-core down
[21:52:30] [INFO] received Windows console close event; shutting log-core down
[21:52:34] [INFO] received Windows console close event; shutting log-core down
[21:54:39] [INFO] received Windows console close event; shutting log-core down
[21:55:37] [INFO] received Windows console close event; shutting log-core down
[21:56:33] [INFO] received Windows console close event; shutting log-core down
[21:57:27] [INFO] received Windows console close event; shutting log-core down
[21:59:05] [INFO] received Windows console close event; shutting log-core down
[22:04:43] [INFO] received Windows console close event; shutting log-core down
[22:05:53] [INFO] received Windows console close event; shutting log-core down
[22:07:38] [INFO] received Windows console close event; shutting log-core down
[22:08:51] [INFO] received Windows console close event; shutting log-core down
[22:12:42] [INFO] received Windows console close event; shutting log-core down
[22:14:55] [INFO] received Windows console close event; shutting log-core down
[22:22:12] [INFO] received Windows console close event; shutting log-core down
[22:25:20] [INFO] received Windows console close event; shutting log-core down
[22:55:27] [INFO] received Windows console close event; shutting log-core down
[22:56:18] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[23:01:25] [INFO] received Windows console close event; shutting log-core down
[23:02:12] [INFO] received Windows console close event; shutting log-core down
[23:02:47] [INFO] received Windows console close event; shutting log-core down
[23:05:27] [INFO] received Windows console close event; shutting log-core down
[23:05:31] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[23:05:32] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[23:05:54] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[23:06:01] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[23:06:02] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[23:07:28] [INFO] received Windows console close event; shutting log-core down
[23:07:55] [INFO] received Windows console close event; shutting log-core down
[23:08:10] [INFO] received Windows console close event; shutting log-core down
[23:08:36] [INFO] received Windows console close event; shutting log-core down
[23:08:55] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[23:09:07] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[23:09:33] [INFO] received Windows console close event; shutting log-core down
[18:58:19] [INFO] received Windows console close event; shutting log-core down
[18:59:36] [INFO] received Windows console close event; shutting log-core down
[19:00:29] [INFO] received Windows console close event; shutting log-core down
[19:02:03] [INFO] received Windows console close event; shutting log-core down
[19:18:26] [INFO] received Windows console close event; shutting log-core down
[19:36:46] [INFO] received Windows console close event; shutting log-core down
[19:36:50] [INFO] received Windows console close event; shutting log-core down
[19:36:59] [INFO] received Windows console close event; shutting log-core down
[20:10:41] [INFO] received Windows console close event; shutting log-core down
[20:11:07] [INFO] received Windows console close event; shutting log-core down
[20:11:45] [INFO] received Windows console close event; shutting log-core down
[20:11:48] [INFO] received Windows console close event; shutting log-core down
[20:12:59] [INFO] received Windows console close event; shutting log-core down
[20:13:03] [INFO] received Windows console close event; shutting log-core down
[20:14:06] [INFO] received Windows console close event; shutting log-core down
[20:14:11] [INFO] received Windows console close event; shutting log-core down
[20:14:26] [INFO] received Windows console close event; shutting log-core down
[20:16:44] [INFO] received Windows console close event; shutting log-core down
[20:16:47] [INFO] received Windows console close event; shutting log-core down
[20:16:59] [INFO] received Windows console close event; shutting log-core down
[20:17:08] [INFO] received Windows console close event; shutting log-core down
[20:17:19] [INFO] received Windows console close event; shutting log-core down
[20:18:12] [INFO] received Windows console close event; shutting log-core down
[20:19:08] [INFO] received Windows console close event; shutting log-core down
[20:19:15] [INFO] received Windows console close event; shutting log-core down
[20:19:27] [INFO] received Windows console close event; shutting log-core down
[20:28:39] [INFO] received Windows console close event; shutting log-core down
[20:30:22] [INFO] received Windows console close event; shutting log-core down
[20:35:41] [INFO] received Windows console close event; shutting log-core down
[20:39:05] [INFO] received Windows console close event; shutting log-core down
[20:42:03] [INFO] received Windows console close event; shutting log-core down
[20:43:15] [INFO] received Windows console close event; shutting log-core down
[20:44:05] [INFO] received Windows console close event; shutting log-core down
[20:44:11] [INFO] received Windows console close event; shutting log-core down
[20:46:56] [INFO] received Windows console close event; shutting log-core down
[19:31:29] [INFO] received Windows console close event; shutting log-core down
[19:33:46] [INFO] received Windows console close event; shutting log-core down
[19:35:58] [INFO] received Windows console close event; shutting log-core down
[19:37:17] [INFO] received Windows console close event; shutting log-core down
[19:39:17] [INFO] received Windows console close event; shutting log-core down
[19:40:12] [INFO] received Windows console close event; shutting log-core down
[19:43:10] [INFO] received Windows console close event; shutting log-core down
[19:44:15] [INFO] received Windows console close event; shutting log-core down
[19:46:52] [INFO] received Windows console close event; shutting log-core down
[19:50:41] [INFO] received Windows console close event; shutting log-core down
[19:51:50] [INFO] received Windows console close event; shutting log-core down
[18:34:22] [INFO] received Windows console close event; shutting log-core down
[18:42:34] [INFO] received Windows console close event; shutting log-core down
[18:43:52] [INFO] received Windows console close event; shutting log-core down
[18:54:52] [INFO] received Windows console close event; shutting log-core down
[18:56:16] [INFO] received Windows console close event; shutting log-core down
[18:57:41] [INFO] received Windows console close event; shutting log-core down
[19:10:47] [INFO] received Windows console close event; shutting log-core down
[19:14:06] [INFO] received Windows console close event; shutting log-core down
[19:18:17] [INFO] received Windows console close event; shutting log-core down
[19:30:36] [INFO] received Windows console close event; shutting log-core down
[19:47:35] [INFO] received Windows console close event; shutting log-core down
[20:09:30] [INFO] received Windows console close event; shutting log-core down
[20:10:48] [INFO] received Windows console close event; shutting log-core down
[20:19:50] [INFO] received Windows console close event; shutting log-core down
[20:58:47] [INFO] received Windows console close event; shutting log-core down
[21:01:22] [INFO] received Windows console close event; shutting log-core down
[21:10:00] [INFO] received Windows console close event; shutting log-core down
[21:43:12] [INFO] received Windows console close event; shutting log-core down
[21:49:53] [INFO] received Windows console close event; shutting log-core down
[22:10:33] [INFO] received Windows console close event; shutting log-core down
[22:24:24] [INFO] received Windows console close event; shutting log-core down
[22:57:38] [INFO] received Windows console close event; shutting log-core down
[23:01:18] [INFO] received Windows console close event; shutting log-core down
[19:31:50] [INFO] received Windows console close event; shutting log-core down
[19:32:42] [INFO] received Windows console close event; shutting log-core down
[19:34:54] [INFO] received Windows console close event; shutting log-core down
[19:35:40] [INFO] received Windows console close event; shutting log-core down
[09:29:31] [INFO] received Windows console close event; shutting log-core down
[16:49:36] [INFO] received Windows console close event; shutting log-core down
